d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
4,340,340,7,0.1127,1020.0,27005.65
4,346,344,7,0.1035,1005.0,26669.958
4,352,350,7,0.1159,1010.0,26280.8
4,358,358,7,0.1468,980.0,25727.52
4,364,364,6,0.1155,985.0,23864.988
4,370,370,6,0.1153,990.0,24088.694
4,376,370,6,0.1831,990.0,24088.694
4,382,370,6,0.1247,990.0,24088.694
4,388,370,6,0.126,990.0,24088.694
4,394,370,6,0.1256,990.0,24088.694
4,400,370,6,0.1681,990.0,24088.694
4,406,374,6,0.136,975.0,23820.034
4,412,380,6,0.1347,980.0,24122.476
4,418,388,6,0.1937,950.0,23422.098
4,424,394,6,0.1435,955.0,23809.128
4,430,390,5,0.1534,970.0,22089.172
4,436,394,5,0.1935,955.0,21741.776
4,442,390,5,0.1717,970.0,22089.172
4,448,390,5,0.1756,970.0,22089.172
4,454,390,5,0.1799,970.0,22089.172
4,460,390,5,0.2144,970.0,22089.172
4,466,390,5,0.1868,970.0,22089.172
4,472,390,5,0.201,970.0,22089.172
4,478,390,5,0.272,970.0,22089.172
4,484,394,5,0.2049,955.0,21741.776
4,490,400,5,0.2248,960.0,21966.812
4,496,404,5,0.2851,945.0,21399.434
4,502,410,5,0.2496,950.0,21809.872
4,508,418,5,0.2618,920.0,20676.712
4,514,424,5,0.332,925.0,21066.402
4,520,430,5,0.3632,930.0,21511.42
4,526,434,5,0.4037,915.0,20945.638
4,532,440,5,0.3773,920.0,21353.416
4,538,448,5,0.3707,890.0,20221.852
4,544,454,5,0.3888,895.0,20634.418
4,550,460,5,0.4613,900.0,21082.096
4,556,464,5,0.4494,885.0,20514.718
4,562,470,5,0.4719,890.0,20518.176
4,568,478,5,0.4315,860.0,19386.612
4,574,480,4,0.5891,880.0,18637.822
4,580,480,4,0.4409,880.0,18637.822
4,586,480,4,0.4675,880.0,18637.822
4,592,480,4,0.6163,880.0,18637.822
4,598,480,4,0.5505,880.0,18637.822
4,604,480,4,0.5222,880.0,18637.822
4,610,480,4,0.5934,880.0,18637.822
4,616,480,4,0.6281,880.0,18637.822
4,622,480,4,0.5655,880.0,18637.822
4,628,480,4,0.6029,880.0,18637.822
4,634,480,4,0.6291,880.0,18637.822
4,640,480,4,0.5965,880.0,18637.822
4,646,480,4,0.6062,880.0,18637.822
4,652,480,4,0.7433,880.0,18637.822
4,658,480,4,0.9109,880.0,18637.822
4,664,484,4,0.672,865.0,18164.076
4,670,490,4,0.6863,870.0,18670.008
4,676,490,4,0.628,870.0,18670.008
4,682,500,4,0.64,860.0,18635.428
