d,target_randomness,randomness_used,latency,Time(s),Area,synth_area
3,216,216,6,0.1735,792.0,16925.048
3,220,219,6,0.1864,780.0,16671.816
3,224,222,6,0.159,786.0,16828.224
3,228,228,6,0.1508,789.0,16626.064
3,232,231,6,0.1838,777.0,16368.044
3,236,234,5,0.1571,792.0,14851.312
3,240,234,5,0.191,792.0,14851.312
3,244,234,5,0.1507,792.0,14851.312
3,248,234,5,0.1724,792.0,14851.312
3,252,234,5,0.1918,792.0,14851.312
3,256,237,5,0.1593,780.0,14641.172
3,260,240,5,0.1687,786.0,14867.272
3,264,246,5,0.2212,789.0,14863.016
3,268,249,5,0.1745,777.0,14612.976
3,272,252,5,0.187,792.0,14863.548
3,276,258,5,0.2204,786.0,14879.508
3,280,261,5,0.1883,774.0,14629.468
3,284,264,5,0.2007,789.0,14893.34
3,288,270,5,0.2355,792.0,14911.96
3,292,270,5,0.2235,792.0,14911.96
3,296,270,5,0.2344,792.0,14911.96
3,300,270,5,0.2217,792.0,14911.96
3,304,270,5,0.2178,792.0,14911.96
3,308,270,5,0.2694,792.0,14911.96
3,312,270,5,0.2384,792.0,14911.96
3,316,270,5,0.2969,792.0,14911.96
3,320,270,5,0.3088,792.0,14911.96
3,324,270,5,0.2667,792.0,14911.96
3,328,273,5,0.294,780.0,14661.92
3,332,276,5,0.355,786.0,14816.2
3,336,282,5,0.3027,789.0,14739.592
3,340,285,5,0.3823,777.0,14374.64
3,344,288,5,0.3283,792.0,14644.896
3,348,294,5,0.3965,786.0,14549.136
3,352,297,5,0.4246,774.0,14184.184
3,356,300,5,0.4597,789.0,14540.092
3,360,306,5,0.5719,792.0,14654.472
3,364,309,5,0.5941,780.0,14289.52
3,368,312,5,0.5286,786.0,14558.712
3,372,318,5,0.5179,789.0,14481.572
3,376,321,5,0.5591,777.0,14116.62
3,380,324,4,0.5535,792.0,12633.936
3,384,324,4,0.5907,792.0,12633.936
3,388,324,4,0.5986,792.0,12633.936
3,392,324,4,0.5933,792.0,12633.936
3,396,324,4,0.6139,792.0,12633.936
3,400,324,4,0.5962,792.0,12633.936
3,404,324,4,0.6288,792.0,12633.936
3,408,324,4,0.6482,792.0,12633.936
3,412,324,4,0.6221,792.0,12633.936
3,416,324,4,0.6757,792.0,12633.936
3,420,324,4,0.726,792.0,12633.936
3,424,324,4,0.6641,792.0,12633.936
3,428,324,4,0.7094,792.0,12633.936
3,432,324,4,0.8019,792.0,12633.936
